Team_1,T1_score,T1_wickets,T1_overs,T1_rpo,T1_result,Team_2,T2_score,T2_wickets,T2_overs,T2_rpo,T2_result
Australia,270,9,50,5.4,0,England,274,6,44.2,6.18,1
Bangladesh,320,7,50,6.4,1,Sri Lanka,157,10,32.2,4.85,0
England,302,6,50,6.04,1,Australia,286,6,50,5.72,0
Bangladesh,82,10,24,3.41,0,Sri Lanka,83,0,11.5,7.01,1
England,196,10,44.5,4.37,0,Australia,197,7,37,5.32,1
Sri Lanka,221,10,50,4.42,1,Bangladesh,142,10,41.1,3.44,0
England,259,10,47.4,5.43,1,Australia,247,10,48.2,5.11,0
South Africa,269,8,50,5.38,0,India,270,4,45.3,5.93,1
South Africa,118,10,32.2,3.64,0,India,119,1,20.3,5.8,1
India,303,6,50,6.06,1,South Africa,179,10,40,4.47,0
India,289,7,50,5.78,0,South Africa,207,5,25.3,8.11,1
India,274,7,50,5.48,1,South Africa,201,10,42.2,4.74,0
South Africa,204,10,46.5,4.35,0,India,206,2,32.1,6.4,1
England,284,8,50,5.68,0,New Zealand,287,7,49.2,5.81,1
New Zealand,223,10,49.4,4.48,0,England,225,4,37.5,5.94,1
England,234,10,50,4.68,1,New Zealand,230,8,50,4.6,0
England,335,9,50,6.7,0,New Zealand,339,5,49.3,6.84,1
New Zealand,223,10,49.5,4.47,0,England,229,3,32.4,7.01,1
West Indies,197,8,50,3.94,0,Afghanistan,198,7,47.4,4.15,1
West Indies,204,10,46.5,4.35,0,Afghanistan,206,3,40.4,5.06,1
Australia,214,10,47,4.55,0,England,218,7,44,4.95,1
England,342,8,50,6.84,1,Australia,304,10,47.1,6.44,0
England,481,6,50,9.62,1,Australia,239,10,37,6.45,0
Australia,310,8,50,6.2,0,England,314,4,44.4,7.02,1
Australia,205,10,34.4,5.91,0,England,208,9,48.3,4.28,1
England,268,10,49.5,5.37,0,India,269,2,40.1,6.69,1
England,322,7,50,6.44,1,India,236,10,50,4.72,0
India,256,8,50,5.12,0,England,260,2,44.3,5.84,1
Bangladesh,279,4,50,5.58,1,West Indies,231,9,50,4.62,0
West Indies,271,10,49.3,5.47,1,Bangladesh,268,6,50,5.36,0
Bangladesh,301,6,50,6.02,1,West Indies,283,6,50,5.66,0
Sri Lanka,193,10,34.3,5.59,0,South Africa,196,5,31,6.32,1
Sri Lanka,244,8,50,4.88,0,South Africa,246,6,42.5,5.74,1
South Africa,363,7,50,7.26,1,Sri Lanka,285,10,45.2,6.28,0
Sri Lanka,306,7,39,7.84,1,South Africa,187,9,21,8.9,0
Sri Lanka,299,8,50,5.98,1,South Africa,121,10,24.4,4.9,0
Bangladesh,261,10,49.3,5.27,1,Sri Lanka,124,10,35.2,3.5,0
Afghanistan,249,10,50,4.98,1,Sri Lanka,158,10,41.2,3.82,0
Pakistan,162,10,43.1,3.75,0,India,164,2,29,5.65,1
Afghanistan,255,7,50,5.1,1,Bangladesh,119,10,42.1,2.82,0
Bangladesh,173,10,49.1,3.51,0,India,174,3,36.2,4.78,1
Afghanistan,257,6,50,5.14,0,Pakistan,258,7,49.3,5.21,1
Pakistan,237,7,50,4.74,0,India,238,1,39.3,6.02,1
Bangladesh,249,7,50,4.98,1,Afghanistan,246,7,50,4.92,0
Bangladesh,239,10,48.5,4.89,1,Pakistan,202,9,50,4.04,0
Bangladesh,222,10,48.3,4.57,0,India,223,7,50,4.46,1
England,278,9,50,5.56,1,Sri Lanka,140,5,29,4.82,0
Sri Lanka,150,9,21,7.14,0,England,153,3,18.3,8.27,1
Sri Lanka,273,7,50,5.46,0,England,132,2,27,4.88,1
West Indies,322,8,50,6.44,0,India,326,2,42.1,7.73,1
Sri Lanka,366,6,50,7.32,1,England,132,9,26.1,5.04,0
West Indies,283,9,50,5.66,1,India,240,10,47.4,5.03,0
India,377,5,50,7.54,1,West Indies,153,10,36.2,4.21,0
West Indies,104,10,31.5,3.26,0,India,105,1,14.5,7.07,1
Australia,152,10,38.1,3.98,0,South Africa,153,4,29.2,5.21,1
New Zealand,266,9,50,5.32,1,Pakistan,219,10,47.2,4.62,0
